"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\tutorial-Uni\auth\login.php", "PHP", 30, 0, 0, 2, 32
"c:\xampp\htdocs\tutorial-Uni\auth\signup.php", "PHP", 46, 0, 0, 2, 48
"c:\xampp\htdocs\tutorial-Uni\components\footer.php", "PHP", 4, 0, 0, 1, 5
"c:\xampp\htdocs\tutorial-Uni\components\header.php", "PHP", 25, 0, 0, 0, 25
"c:\xampp\htdocs\tutorial-Uni\includes\addCourse.inc.php", "PHP", 66, 0, 0, 7, 73
"c:\xampp\htdocs\tutorial-Uni\includes\dbh.inc.php", "PHP", 9, 0, 0, 3, 12
"c:\xampp\htdocs\tutorial-Uni\includes\deleteCourse.inc.php", "PHP", 20, 0, 0, 3, 23
"c:\xampp\htdocs\tutorial-Uni\includes\dropCourse.inc.php", "PHP", 35, 0, 0, 8, 43
"c:\xampp\htdocs\tutorial-Uni\includes\editCourse.inc.php", "PHP", 40, 0, 0, 4, 44
"c:\xampp\htdocs\tutorial-Uni\includes\fetchCourses.inc.php", "PHP", 48, 0, 0, 7, 55
"c:\xampp\htdocs\tutorial-Uni\includes\login.inc.php", "PHP", 45, 0, 0, 5, 50
"c:\xampp\htdocs\tutorial-Uni\includes\logout.inc.php", "PHP", 5, 0, 0, 0, 5
"c:\xampp\htdocs\tutorial-Uni\includes\registerCourse.inc.php", "PHP", 39, 0, 0, 8, 47
"c:\xampp\htdocs\tutorial-Uni\includes\signup.inc.php", "PHP", 61, 0, 0, 5, 66
"c:\xampp\htdocs\tutorial-Uni\index.php", "PHP", 16, 0, 0, 2, 18
"c:\xampp\htdocs\tutorial-Uni\pages\addCourse.php", "PHP", 112, 0, 0, 13, 125
"c:\xampp\htdocs\tutorial-Uni\pages\editCourse.php", "PHP", 135, 0, 0, 13, 148
"c:\xampp\htdocs\tutorial-Uni\pages\employee.php", "PHP", 52, 0, 0, 2, 54
"c:\xampp\htdocs\tutorial-Uni\pages\instructor.php", "PHP", 52, 0, 0, 2, 54
"c:\xampp\htdocs\tutorial-Uni\pages\main.php", "PHP", 16, 0, 0, 1, 17
"c:\xampp\htdocs\tutorial-Uni\pages\student.php", "PHP", 59, 0, 0, 4, 63
"c:\xampp\htdocs\tutorial-Uni\styles\auth.css", "CSS", 0, 193, 4, 35, 232
"Total", "-", 915, 193, 4, 127, 1239
